batterId,team,lastName,firstName,batHand,throwHand,freshmanYear
1216,NCST,Conley,Jack,R,R,16
1213,NCST,Cooper,Dillon,R,R,16
1211,NCST,Deatherage,Brock,L,L,15
1214,NCST,Debo,Brad,L,R,17
1208,NCST,Edwards,Evan,L,L,16
1218,NCST,Jarrett,JT,R,R,18
1206,NCST,Kinneman,Brett,L,L,16
1205,NCST,Mclain,Josh,R,R,15
1210,NCST,Pitarra,Stephen,L,R,15
1215,NCST,Shepard,Shane,L,R,15
1217,NCST,Tatum,Terrell,L,L,18
1212,NCST,Vazquez,David,R,R,18
1207,NCST,Wilson,Will,R,R,17
1229,TTU,Beck,Connor,,,
1225,TTU,Davis,Michael,,,
1226,TTU,Farhat,Cody,,,
1219,TTU,Holt,Gabe,,,
1221,TTU,Jung,Josh,,,
1231,TTU,Klein,Brian,,,
1228,TTU,Koelzer,Clay,,,
1223,TTU,Little,Grant,,,
1230,TTU,Masters,Cody,,,
1222,TTU,Mcmillon,John,,,
1232,TTU,Simonich,Kc,,,
1224,TTU,Warren,Cameron,,,
1227,TTU,Willems,Zayne,,,
1220,TTU,Wilson,Kurt,,,
1118,UK,Aklinski,Ben,R,R,16
1119,UK,Becker,Luke,S,R,15
1121,UK,Cottam,Kole,R,R,16
1124,UK,Dawson,Trey,R,R,16
1120,UK,Heyer,Luke,R,R,15
1122,UK,Johnson,Ryan,R,L,16
1116,UK,Pompey,Tristan,S,R,16
1123,UK,Rodriguez,Alex,R,R,16
1233,UK,Shinn,Ryan,R,L,16
1117,UK,Squires,Troy,L,R,14
1246,UNC,Brandenburg,Kip,,,
1237,UNC,Busch,Michael,,,
1236,UNC,Datres,Kyle,,,
1234,UNC,Enwiller,Dylan,,,
1242,UNC,Freeman,Ike,,,
1241,UNC,Gahagan,Zack,,,
1245,UNC,Hesterlee,Jackson,,,
1244,UNC,Inclan,Clemente,,,
1240,UNC,Martorano,Brandon,,,
1239,UNC,Mcgee,Ashton,,,
1235,UNC,Riley,Brandon,,,
1238,UNC,Roberts,Cody,,,
1243,UNC,Tessar,Dallas,,,
1252,VA,Cody,Charlie,R,R,15
1253,VA,Comer,Cameron,L,R,16
1251,VA,Eikhoff,Nate,L,R,16
1258,VA,Knight,Caleb,R,R,15
1247,VA,Morris,Tanner,L,R,18
